Cell,Q^2,SD_Q^2,x,SD_x,y,SD_y,Phi_s,SD_Phi_s,epsilon,SD_epsilon,Z(K+/-),SD_Z(K+/-),P_hperp,SD_P_hperp,Phi_h,SD_Phi_h,image
0,1.43810414659,0.42883528371,0.0400276222452,0.0149868012263,0.725248784492,0.14259910339,3.10587571878,1.8432805436,0.483407249968,0.207331753129,0.298350391566,0.0943025626267,0.790767092098,0.251109736134,3.16985776608,1.8243541504,K+thumbnail0.png
1,1.43649177652,0.430438182975,0.0404160564068,0.0150829505024,0.71944742714,0.148422020758,3.15310826479,1.88970211149,0.490364154015,0.215068950194,0.296727148767,0.0881120790205,0.781084895895,0.242100161692,3.22840534223,1.87031488963,K+thumbnail1.png
2,1.43828730942,0.435209324521,0.0399953877207,0.0143960565981,0.724011875922,0.142522250572,3.01408770573,1.89198404759,0.485511038003,0.209609299931,0.292000924716,0.0858226992604,0.772841914604,0.245053656417,3.04989000648,1.87634169851,K+thumbnail2.png
3,1.44395386275,0.43036533617,0.0404544502744,0.0157182278432,0.722403321551,0.143127001797,3.13681884211,1.87890056357,0.487752318073,0.20879587427,0.29702057746,0.0895594650357,0.783544392953,0.244424541759,3.21728960424,1.87744517976,K+thumbnail3.png
4,1.43485475111,0.434234681199,0.040610747041,0.0154883969624,0.715479023056,0.14656683149,3.22897154793,1.92501121807,0.497228105242,0.212617323457,0.292706554502,0.0882722450213,0.773043248424,0.249330823325,3.1460275398,1.86167148339,K+thumbnail4.png
5,1.41709439338,0.4061243775,0.0400109761148,0.0150182992539,0.717998431226,0.145871106634,3.06891785514,1.92805735308,0.493657434712,0.212316692733,0.294709865795,0.0882879462624,0.77402929995,0.245044301072,3.13571754396,1.8676782205,K+thumbnail5.png
