Cell,Q^2,SD_Q^2,x,SD_x,y,SD_y,Phi_s,SD_Phi_s,epsilon,SD_epsilon,Z(K+/-),SD_Z(K+/-),P_hperp,SD_P_hperp,Phi_h,SD_Phi_h,image
0,1.11564571057,0.0744912791586,0.0253378882453,0.00128356689264,0.852235824649,0.0559570696781,3.15781750451,1.84678476976,0.285627028543,0.103190021517,0.299111357847,0.0884611820369,0.772412784212,0.25552036053,3.19720122558,1.55157129419,K+thumbnail0.png
1,1.20799854696,0.124805887737,0.0294584812372,0.00118088668624,0.793209382623,0.0806444356774,3.10333167434,1.90163045119,0.388674590853,0.140831577753,0.302059786833,0.0901096090677,0.774976156001,0.240855131765,3.23963648833,1.63428376691,K+thumbnail1.png
2,1.2982252198,0.180514364318,0.0336963525416,0.0013151298415,0.745160851269,0.10216397364,3.09085932626,1.86364570831,0.464890001711,0.167612666413,0.29813979917,0.0913722728927,0.768432307297,0.23678376524,3.15994142157,1.66845078479,K+thumbnail2.png
3,1.40955404902,0.244614061917,0.0390469294348,0.00180428644936,0.698408024777,0.119673421388,3.12028912383,1.89133896495,0.532917718519,0.182436182552,0.297321242859,0.0918491980682,0.771852539578,0.238013625364,3.10131844901,1.82582748453,K+thumbnail3.png
4,1.59183819308,0.346246556693,0.0469471005807,0.00289491431386,0.656038370438,0.138874129461,3.16244835286,1.94659133286,0.587364252883,0.195001611434,0.291547562221,0.0880510118461,0.783963381141,0.251088740952,3.09763186635,2.00260098513,K+thumbnail4.png
5,1.98279259406,0.600069457135,0.0668261180149,0.0139644955503,0.580144745001,0.156695103147,3.07474255348,1.91258686279,0.677720414238,0.194488456053,0.28337411145,0.0833603447801,0.803562799988,0.252989858178,3.14787860532,2.36929914512,K+thumbnail5.png
