Cell,Q^2,SD_Q^2,x,SD_x,y,SD_y,Phi_s,SD_Phi_s,epsilon,SD_epsilon,Z(K+/-),SD_Z(K+/-),P_hperp,SD_P_hperp,Phi_h,SD_Phi_h,image
0,2.47988444141,1.50627443663,0.0985557635276,0.0635420177331,0.529081961298,0.163685789176,3.10886288002,1.92985486929,0.731628196583,0.186198268102,0.402671872962,0.179696771078,0.374033045739,0.208777207835,3.13509636355,1.68308539603,pi+thumbnail_y_z(pi)0.png
1,2.46834841443,1.49445135085,0.0981801882145,0.0631678913493,0.528633450661,0.164017607432,3.10706601641,1.9312601922,0.731959308042,0.187159874606,0.403547086781,0.180513065306,0.373111350416,0.208498519268,3.1463874248,1.67891578883,pi+thumbnail_y_z(pi)1.png
2,2.47627699883,1.50518994845,0.0982056442749,0.0632357035847,0.529690207538,0.163432776611,3.11461288463,1.93055812537,0.731106795689,0.186425500997,0.402185219942,0.178692348375,0.374817335038,0.209412559306,3.14188353026,1.67688458436,pi+thumbnail_y_z(pi)2.png
3,2.47713239099,1.51165302089,0.0983318325946,0.0635488805289,0.529777230372,0.164047468614,3.1008769495,1.9337056265,0.730741192564,0.187638208641,0.402382654863,0.179463748963,0.374112133842,0.209219273428,3.12927306435,1.68073665933,pi+thumbnail_y_z(pi)3.png
4,2.46762904328,1.49973561411,0.0981378476762,0.0632680493408,0.528578774015,0.163571745934,3.11807834395,1.93050758231,0.73221131088,0.186378765837,0.402521261495,0.17940486292,0.373526722834,0.209211021871,3.14509280503,1.68029140954,pi+thumbnail_y_z(pi)4.png
5,2.47148010181,1.49962345303,0.0982369700616,0.0631479257561,0.528442676594,0.163454785162,3.09885995766,1.92635425796,0.732411487226,0.186162272059,0.403835034415,0.180325090126,0.374143887522,0.208719108018,3.15180233252,1.68144806827,pi+thumbnail_y_z(pi)5.png
6,2.46570628911,1.49866996442,0.0981165475932,0.063234087204,0.528270665685,0.163636303292,3.10209633541,1.92967038894,0.732512652671,0.186315823286,0.402756830926,0.180296179243,0.373423516726,0.208618440272,3.13629895989,1.67852881951,pi+thumbnail_y_z(pi)6.png
7,2.46667025774,1.49433660984,0.0982094915538,0.0632345596442,0.528265198123,0.16399632985,3.11307255768,1.92672733667,0.732364197167,0.186874522423,0.402359250953,0.179467171034,0.373124358854,0.208578267073,3.15383555651,1.67811161622,pi+thumbnail_y_z(pi)7.png
8,2.46626129804,1.49539641873,0.09807700952,0.0629764064027,0.528664586921,0.164501125551,3.10400927009,1.92917784564,0.731721421228,0.187543689565,0.402382342346,0.179443530633,0.374714322156,0.209983871848,3.14261401189,1.68030121342,pi+thumbnail_y_z(pi)8.png
9,2.46512191798,1.49258890185,0.0982060989307,0.0630924345902,0.527791565075,0.163773871956,3.09674708773,1.9340420463,0.732962587761,0.186573913074,0.403183842848,0.179884898211,0.37305431252,0.208641645654,3.14018617912,1.67881970227,pi+thumbnail_y_z(pi)9.png
