Cell,Q^2,SD_Q^2,x,SD_x,y,SD_y,Phi_s,SD_Phi_s,epsilon,SD_epsilon,Z(K+/-),SD_Z(K+/-),P_hperp,SD_P_hperp,Phi_h,SD_Phi_h,image
0,1.44843542705,0.431030193778,0.0405036330523,0.0148794304451,0.722217369665,0.145753559805,3.06428777981,1.88144252516,0.487027081268,0.212056480721,0.296451517453,0.0915424927052,0.780449298589,0.251279326572,3.18437719134,1.85016939731,K+thumbnail_y_P_hperp0.png
1,1.43949868805,0.418493934713,0.0401089136354,0.0146357607582,0.72464871302,0.144564580886,3.13818473977,1.91903333651,0.483723230104,0.21142186985,0.295007536726,0.0910719240568,0.785381183551,0.255562948704,3.18735231779,1.82839149988,K+thumbnail_y_P_hperp1.png
2,1.42058158978,0.420452451391,0.0400389903906,0.0150470099795,0.71821655895,0.144983140043,3.13192198493,1.86898332216,0.493598803341,0.210356953912,0.294098164836,0.0865441636672,0.773137049342,0.23776498045,3.13422649295,1.86352288074,K+thumbnail_y_P_hperp2.png
3,1.43470053073,0.420280734816,0.040192032813,0.0148404624251,0.721614088423,0.144045749499,3.12562327899,1.87773438247,0.488654391751,0.210321486023,0.293741760964,0.0892568639017,0.777437745707,0.242933441155,3.16528134399,1.92052904502,K+thumbnail_y_P_hperp3.png
4,1.42284038262,0.433961641467,0.0399674438356,0.0152712031902,0.719741708109,0.145273456438,3.08064104799,1.89980930732,0.491134061672,0.211180918916,0.295629078776,0.0876976020995,0.776533764833,0.242867636594,3.10357112949,1.8559431564,K+thumbnail_y_P_hperp4.png
5,1.44350298324,0.441491202377,0.0407090695372,0.0159807919248,0.718303416117,0.144692798794,3.16999039232,1.9157110476,0.493551144953,0.210569755524,0.296536527465,0.0885156230498,0.782329368683,0.246654408052,3.18047978498,1.85945027902,K+thumbnail_y_P_hperp5.png
